Timestamp	Filename	Error	Message
2025-05-07 15:21:21.654 +0100	OAM.fmp12	0	Recovering: privilege set catalog
2025-05-07 15:21:21.654 +0100	OAM.fmp12	0	  Rebuilding privilege set catalog order list: name 
2025-05-07 15:21:21.654 +0100	OAM.fmp12	0	  Rebuilding privilege set catalog order list: custom 
2025-05-07 15:21:21.655 +0100	OAM.fmp12	0	  Rebuilding privilege set catalog order list: quick reference 
2025-05-07 15:21:21.655 +0100	OAM.fmp12	0	Recovering: extended privileges catalog
2025-05-07 15:21:21.655 +0100	OAM.fmp12	0	  Rebuilding extended privileges catalog order list: name 
2025-05-07 15:21:21.655 +0100	OAM.fmp12	0	  Recovering: extended privilege 'fmwebdirect' (1)
2025-05-07 15:21:21.655 +0100	OAM.fmp12	0	  Recovering: extended privilege 'fmxdbc' (2)
2025-05-07 15:21:21.655 +0100	OAM.fmp12	0	  Recovering: extended privilege 'fmapp' (3)
2025-05-07 15:21:21.655 +0100	OAM.fmp12	0	  Recovering: extended privilege 'fmreauthenticate10' (4)
2025-05-07 15:21:21.655 +0100	OAM.fmp12	0	  Recovering: extended privilege 'fmxml' (5)
2025-05-07 15:21:21.656 +0100	OAM.fmp12	0	  Recovering: extended privilege 'fmphp' (6)
2025-05-07 15:21:21.656 +0100	OAM.fmp12	0	  Recovering: extended privilege 'fmextscriptaccess' (7)
2025-05-07 15:21:21.656 +0100	OAM.fmp12	0	  Recovering: extended privilege 'fmurlscript' (8)
2025-05-07 15:21:21.656 +0100	OAM.fmp12	0	  Recovering: extended privilege 'fmrest' (9)
2025-05-07 15:21:21.656 +0100	OAM.fmp12	0	  Recovering: extended privilege 'fmodata' (10)
2025-05-07 15:21:21.656 +0100	OAM.fmp12	0	  Recovering: extended privilege 'fmplugin' (11)
2025-05-07 15:21:21.656 +0100	OAM.fmp12	0	Recovering: authorized files catalog
2025-05-07 15:21:21.657 +0100	OAM.fmp12	0	  Recovering: authorized file '<No Access>' (1)
2025-05-07 15:21:21.657 +0100	OAM.fmp12	0	  Recovering: authorized file '<No Access>' (2)
2025-05-07 15:21:21.657 +0100	OAM.fmp12	0	  Recovering: authorized file '<No Access>' (3)
2025-05-07 15:21:21.657 +0100	OAM.fmp12	0	Recovering: value list catalog
2025-05-07 15:21:21.657 +0100	OAM.fmp12	0	  Rebuilding value list catalog order list: name 
2025-05-07 15:21:21.657 +0100	OAM.fmp12	0	  Rebuilding value list catalog order list: custom 
2025-05-07 15:21:21.657 +0100	OAM.fmp12	0	  Rebuilding value list catalog order list: type 
2025-05-07 15:21:21.657 +0100	OAM.fmp12	0	  Recovering: value list 'CC Users' (1)
2025-05-07 15:21:21.657 +0100	OAM.fmp12	0	  Recovering: value list '1' (2)
2025-05-07 15:21:21.657 +0100	OAM.fmp12	0	  Recovering: value list 'Company' (3)
2025-05-07 15:21:21.658 +0100	OAM.fmp12	0	Recovering: library catalog
2025-05-07 15:21:21.658 +0100	OAM.fmp12	0	  Rebuilding library catalog order list: quick reference 
2025-05-07 15:21:21.658 +0100	OAM.fmp12	0	  Rebuilding library catalog order list: type 
2025-05-07 15:21:21.658 +0100	OAM.fmp12	0	  Recovering: library '' (3)
2025-05-07 15:21:21.658 +0100	OAM.fmp12	0	  Recovering: library '' (4)
2025-05-07 15:21:21.658 +0100	OAM.fmp12	0	  Recovering: library '' (5)
2025-05-07 15:21:21.658 +0100	OAM.fmp12	0	  Recovering: library '' (7)
2025-05-07 15:21:21.659 +0100	OAM.fmp12	0	  Recovering: library '' (8)
2025-05-07 15:21:21.659 +0100	OAM.fmp12	0	  Recovering: library '' (10)
2025-05-07 15:21:21.659 +0100	OAM.fmp12	0	  Recovering: library '' (11)
2025-05-07 15:21:21.659 +0100	OAM.fmp12	0	Recovering: layout catalog
2025-05-07 15:21:21.661 +0100	OAM.fmp12	0	  Rebuilding layout catalog order list: quick reference 
2025-05-07 15:21:21.662 +0100	OAM.fmp12	0	  Rebuilding layout catalog order list: name 
2025-05-07 15:21:21.662 +0100	OAM.fmp12	0	  Rebuilding layout catalog order list: custom 
2025-05-07 15:21:21.663 +0100	OAM.fmp12	0	  Recovering: layout 'Input Layout' (2)
2025-05-07 15:21:21.673 +0100	OAM.fmp12	0	  Recovering: layout 'CC Users' (4)
2025-05-07 15:21:21.679 +0100	OAM.fmp12	0	  Recovering: layout 'Quick Books Export' (5)
2025-05-07 15:21:21.690 +0100	OAM.fmp12	0	  Recovering: layout 'WEB Expenses Export ' (6)
2025-05-07 15:21:21.700 +0100	OAM.fmp12	0	  Recovering: layout 'Index' (7)
2025-05-07 15:21:21.721 +0100	OAM.fmp12	0	Recovering: theme catalog
2025-05-07 15:21:21.722 +0100	OAM.fmp12	0	  Rebuilding theme catalog order list: name 
2025-05-07 15:21:21.724 +0100	OAM.fmp12	0	  Recovering: theme 'com.filemaker.theme.apex_blue' (1)
2025-05-07 15:21:21.726 +0100	OAM.fmp12	0	  Evaluating library for layouts and themes
2025-05-07 15:21:21.750 +0100	OAM.fmp12	0	Recovering: script catalog
2025-05-07 15:21:21.757 +0100	OAM.fmp12	0	  Rebuilding script catalog order list: quick reference 
2025-05-07 15:21:21.757 +0100	OAM.fmp12	0	  Rebuilding script catalog order list: name 
2025-05-07 15:21:21.757 +0100	OAM.fmp12	0	  Rebuilding script catalog order list: custom 
2025-05-07 15:21:21.758 +0100	OAM.fmp12	0	  Recovering: script 'Quickbooks Export MLP COPY' (1)
2025-05-07 15:21:21.759 +0100	OAM.fmp12	0	  Recovering: script 'Delete all recorde' (2)
2025-05-07 15:21:21.759 +0100	OAM.fmp12	0	  Recovering: script 'WEBxExport MLP' (3)
2025-05-07 15:21:21.759 +0100	OAM.fmp12	0	  Recovering: script 'Import MLP' (4)
2025-05-07 15:21:21.759 +0100	OAM.fmp12	0	  Recovering: script 'All Records' (5)
2025-05-07 15:21:21.759 +0100	OAM.fmp12	0	  Recovering: script 'Remove Unwanted' (7)
2025-05-07 15:21:21.759 +0100	OAM.fmp12	0	  Recovering: script 'Window Size' (10)
2025-05-07 15:21:21.759 +0100	OAM.fmp12	0	  Recovering: script 'Import OAM' (11)
2025-05-07 15:21:21.761 +0100	OAM.fmp12	0	  Recovering: script 'Quickbooks Export OAM COPY' (12)
2025-05-07 15:21:21.761 +0100	OAM.fmp12	0	  Recovering: script 'WEBxExport OAM' (13)
2025-05-07 15:21:21.761 +0100	OAM.fmp12	0	  Recovering: script 'Dupilcates' (14)
2025-05-07 15:21:21.762 +0100	OAM.fmp12	0	  Recovering: script 'Quickbooks Export OAM ' (15)
2025-05-07 15:21:21.762 +0100	OAM.fmp12	0	  Recovering: script 'Quickbooks Export MLP' (16)
2025-05-07 15:21:21.762 +0100	OAM.fmp12	0	  Recovering: script 'WEBxExport OAM 2' (17)
2025-05-07 15:21:21.762 +0100	OAM.fmp12	0	  Recovering: script 'Find ' (18)
2025-05-07 15:21:21.762 +0100	OAM.fmp12	0	  Recovering: script 'Find Records with no data' (19)
2025-05-07 15:21:21.763 +0100	OAM.fmp12	0	  Recovering: script 'Set Field Company MLP' (20)
2025-05-07 15:21:21.763 +0100	OAM.fmp12	0	  Recovering: script 'Set Field Company OAM' (21)
2025-05-07 15:21:21.770 +0100	OAM.fmp12	0	Recovering: custom menu catalog
2025-05-07 15:21:21.771 +0100	OAM.fmp12	0	  Rebuilding custom menu catalog order list: name 
2025-05-07 15:21:21.771 +0100	OAM.fmp12	0	  Rebuilding custom menu catalog order list: custom 
2025-05-07 15:21:21.771 +0100	OAM.fmp12	0	  Recovering: custom menu '[Format]' (1)
2025-05-07 15:21:21.771 +0100	OAM.fmp12	0	  Recovering: custom menu '[Scripts]' (2)
2025-05-07 15:21:21.771 +0100	OAM.fmp12	0	  Recovering: custom menu '[Window]' (3)
2025-05-07 15:21:21.772 +0100	OAM.fmp12	0	  Recovering: custom menu '[Recent]' (4)
2025-05-07 15:21:21.772 +0100	OAM.fmp12	0	  Recovering: custom menu '[Import Records]' (5)
2025-05-07 15:21:21.772 +0100	OAM.fmp12	0	  Recovering: custom menu '[Save/Send Records As]' (6)
2025-05-07 15:21:21.772 +0100	OAM.fmp12	0	  Recovering: custom menu '[Go to Layout]' (7)
2025-05-07 15:21:21.772 +0100	OAM.fmp12	0	  Recovering: custom menu '[Align Text]' (8)
2025-05-07 15:21:21.772 +0100	OAM.fmp12	0	  Recovering: custom menu '[Manage]' (9)
2025-05-07 15:21:21.772 +0100	OAM.fmp12	0	  Recovering: custom menu '[Find/Replace]' (10)
2025-05-07 15:21:21.772 +0100	OAM.fmp12	0	  Recovering: custom menu '[Font]' (11)
2025-05-07 15:21:21.772 +0100	OAM.fmp12	0	  Recovering: custom menu '[Line Spacing]' (12)
2025-05-07 15:21:21.773 +0100	OAM.fmp12	0	  Recovering: custom menu '[Sharing]' (13)
2025-05-07 15:21:21.773 +0100	OAM.fmp12	0	  Recovering: custom menu '[Go to Request]' (14)
2025-05-07 15:21:21.773 +0100	OAM.fmp12	0	  Recovering: custom menu '[Go to Record]' (15)
2025-05-07 15:21:21.773 +0100	OAM.fmp12	0	  Recovering: custom menu '[Show Window]' (16)
2025-05-07 15:21:21.773 +0100	OAM.fmp12	0	  Recovering: custom menu '[Size]' (17)
2025-05-07 15:21:21.773 +0100	OAM.fmp12	0	  Recovering: custom menu '[Spelling]' (18)
2025-05-07 15:21:21.773 +0100	OAM.fmp12	0	  Recovering: custom menu '[Style]' (19)
2025-05-07 15:21:21.773 +0100	OAM.fmp12	0	  Recovering: custom menu '[Text Color]' (20)
2025-05-07 15:21:21.773 +0100	OAM.fmp12	0	  Recovering: custom menu '[Saved Finds]' (21)
2025-05-07 15:21:21.773 +0100	OAM.fmp12	0	  Recovering: custom menu '[Send]' (22)
2025-05-07 15:21:21.774 +0100	OAM.fmp12	0	  Recovering: custom menu '[Favorites]' (23)
2025-05-07 15:21:21.774 +0100	OAM.fmp12	0	  Recovering: custom menu '[Hosts]' (24)
2025-05-07 15:21:21.774 +0100	OAM.fmp12	0	Recovering: custom menu set catalog
2025-05-07 15:21:21.774 +0100	OAM.fmp12	0	  Rebuilding custom menu set catalog order list: name 
2025-05-07 15:21:21.774 +0100	OAM.fmp12	0	  Rebuilding custom menu set catalog order list: custom 
2025-05-07 15:21:21.775 +0100	OAM.fmp12	0	  Recovering: custom menu set '[Standard FileMaker Menus]' (1)
2025-05-07 15:21:21.775 +0100	OAM.fmp12	0	Deleted last used page format
2025-05-07 15:21:21.775 +0100	OAM.fmp12	0	Deleted last used print settings
2025-05-07 15:21:21.775 +0100	OAM.fmp12	0	Deleted last used layout formatting defaults
2025-05-07 15:21:21.775 +0100	OAM.fmp12	0	Deleted last used window settings
2025-05-07 15:21:21.775 +0100	OAM.fmp12	0	Deleted last used import orders
2025-05-07 15:21:21.775 +0100	OAM.fmp12	0	Deleted last used export orders
2025-05-07 15:21:21.775 +0100	OAM.fmp12	0	Deleted last used sort orders
2025-05-07 15:21:21.775 +0100	OAM.fmp12	0	Deleted last used request sets
2025-05-07 15:21:21.775 +0100	OAM.fmp12	0	Deleted last used found sets
2025-05-07 15:21:21.780 +0100	OAM.fmp12	0	Recover built a new database without detecting any problems. The new database is safe to use, though you should monitor the results carefully and make sure to keep up-to-date backups of your databases.
2025-05-07 15:21:21.780 +0100	OAM.fmp12	0	Note: Recover only checks the data blocks of the file and generates a new file from that data.  The Consistency Check checks all blocks of the file, and may find more problems in the original file than Recover does.
2025-05-07 15:21:21.780 +0100	OAM.fmp12	0	File blocks: scanned and rebuilt 149 block(s), dropped 0 invalid data block(s)
2025-05-07 15:21:21.780 +0100	OAM.fmp12	0	Schema: scanned fields and tables; no problems found
2025-05-07 15:21:21.780 +0100	OAM.fmp12	0	Structure: scanned; 0 item(s) modified
2025-05-07 15:21:21.780 +0100	OAM.fmp12	0	File size after recovery is 593920 bytes
2025-05-07 15:21:21.780 +0100	OAM.fmp12	0	*** Completed recovery to 'OAM 2.fmp12'
